1,201_204,TOLN,28,0.861
2,201_204,TOLN,29,0.86
3,201_204,TOLN,30,0.859
4,201_204,TOLN,31,0.858
5,201_204,TOLN,32,0.857
6,201_204,TOLN,33,0.856
7,201_204,XYLN,28,0.861
8,201_204,XYLN,29,0.86
9,201_204,XYLN,30,0.859
10,201_204,XYLN,31,0.858
11,201_204,XYLN,32,0.857
12,201_204,XYLN,33,0.856
13,201_204,MEK,28,0.799
14,201_204,MEK,29,0.798
15,201_204,MEK,30,0.797
16,201_204,MEK,31,0.796
17,201_204,MEK,32,0.795
18,201_204,MEK,33,0.794
19,201_204,MEOH,28,0.786
20,201_204,MEOH,29,0.785
21,201_204,MEOH,30,0.784
22,201_204,MEOH,31,0.783
23,201_204,MEOH,32,0.782
24,201_204,MEOH,33,0.781
25,201_204,ACT,28,0.785
26,201_204,ACT,29,0.784
27,201_204,ACT,30,0.783
28,201_204,ACT,31,0.782
29,201_204,ACT,32,0.781
30,201_204,ACT,33,0.78
31,201_204,IPA,28,0.78
32,201_204,IPA,29,0.779
33,201_204,IPA,30,0.778
34,201_204,IPA,31,0.777
35,201_204,IPA,32,0.776
36,201_204,IPA,33,0.775
37,201_204,EA,28,0.891
38,201_204,EA,29,0.89
39,201_204,EA,30,0.889
40,201_204,EA,31,0.888
41,201_204,EA,32,0.887
42,201_204,EA,33,0.886
